epsilon,best_test_accuracy,max_grad_norm,learning_rate,batch_size,epochs
0.05689810202763908,0.8292783846408474,1.5607064635047139,0.04756035816729085,377,39
0.059191465532120596,0.8222442899702085,0.7084726977255024,0.008221728756642031,37,56
0.061577266498947215,0.8234028467394903,2.48622628941728,0.00740494610227607,155,24
0.0640592307589469,0.8223270440251572,1.3155433270185273,0.04382641811039227,439,37
0.06664123431815815,0.826133730552797,1.5607064635047139,0.04756035816729085,377,39
0.06932730941086726,0.8295266468056934,3.7860325224985085,0.02392970241200609,441,41
0.07212165079662293,0.8246441575637207,2.7934018145296604,0.015520591893983617,303,29
0.07502862231106096,0.832092022509103,0.9432745657317518,0.049093220046808814,236,61
0.0780527636807701,0.8327540549486925,1.5607064635047139,0.04756035816729085,377,39
0.0811987976128412,0.8316782522343595,2.0861877324929226,0.041492012270524514,401,28
0.08447163717017143,0.8262164846077458,1.5646698578186977,0.04978972544887081,255,42
0.08787639344404101,0.8279543197616683,2.889161487567501,0.03466723014167268,136,31
0.0914183835359447,0.8238993710691824,3.867436873960215,0.03179121990931779,429,34
0.09510313886114317,0.8325885468387951,1.5607064635047139,0.04756035816729085,377,39
0.09893641378690136,0.8349884144323072,1.6181721420313053,0.045429407366484625,426,40
0.10292419461890422,0.8325057927838464,1.6181721420313053,0.045429407366484625,426,40
0.10707270894988284,0.8328368090036412,1.5646698578186977,0.04978972544887081,255,42
0.11138843538505198,0.8362297252565376,1.5646698578186977,0.04978972544887081,255,42
0.11587811365954495,0.8320092684541542,2.834534122035664,0.029866950221815923,251,30
0.1205487551636476,0.8307679576299238,2.0673977344613848,0.026476042843156508,292,32
0.1254076538922676,0.8292783846408474,1.8786729384464402,0.039366210088954176,108,33
0.13046239783573813,0.8327540549486925,2.9384155057568258,0.02539756476058956,274,51
0.13572088082974532,0.8326713008937437,1.8786729384464402,0.039366210088954176,108,33
0.14119131488288517,0.8315127441244621,3.0332237410064717,0.017611840389789194,414,51
0.14688224300110034,0.834243627937769,1.8786729384464402,0.039366210088954176,108,33
0.15280255252902578,0.8332505792783846,1.7822163419068493,0.04001383267828239,386,39
0.1589614890290774,0.8344091360476663,1.8786729384464402,0.039366210088954176,108,33
0.16536867071995753,0.8338298576630255,2.0842633133286577,0.029997351620097368,269,64
0.17203410349712725,0.832092022509103,1.5999171405940043,0.030690445149377625,158,47
0.17896819655869997,0.8328368090036412,1.8786729384464402,0.039366210088954176,108,33
0.18618177866116123,0.8348229063224099,1.8786729384464402,0.039366210088954176,108,33
0.19368611503029967,0.8349056603773585,2.0378969860077363,0.04278516309263297,485,64
0.20149292495375765,0.8363124793114862,1.8786729384464402,0.039366210088954176,108,33
0.20961440008267682,0.8339126117179742,1.5607064635047139,0.04756035816729085,377,39
0.218063223471019,0.8333333333333334,3.7494554766289303,0.03576199046035527,197,40
0.22685258938229497,0.8343263819927177,1.7878068082868648,0.04147340873688064,102,34
0.23599622389463348,0.832092022509103,3.7494554766289303,0.03576199046035527,197,40
0.24550840633636933,0.834491890102615,1.6181721420313053,0.045429407366484625,221,40
0.2554039915856232,0.8362297252565376,3.0872039490440746,0.03061517356163097,270,45
0.2656984332687014,0.8321747765640516,3.7860325224985085,0.035453615771808625,194,41
0.27640780789354147,0.8362297252565376,1.8786729384464402,0.039366210088954176,108,33
0.28754883995589126,0.835567692816948,1.971635608704033,0.02539756476058956,122,47
0.2991389280574328,0.8369745117510758,1.6181721420313053,0.045429407366484625,221,40
0.3111961720766338,0.8335815954981795,1.8786729384464402,0.039366210088954176,108,33
0.3237394014347626,0.8331678252234359,2.9384155057568258,0.02539756476058956,274,51
0.33678820450120794,0.8357332009268454,1.8786729384464402,0.039366210088954176,108,33
0.35036295918402205,0.8345746441575638,1.8786729384464402,0.039366210088954176,108,33
0.3644848647534637,0.8353194306521019,1.8786729384464402,0.039366210088954176,108,33
0.3791759749482365,0.8341608738828202,3.7860325224985085,0.035453615771808625,194,41
0.394459232416123,0.833416087388282,2.9445578457667008,0.025907626197691862,124,64
0.4103585045428009,0.8372227739159219,2.8025141175420654,0.04106804728107613,213,64
0.4268986207247944,0.8354021847070506,1.8786729384464402,0.039366210088954176,108,33
0.4441054111447659,0.8367262495862298,1.8786729384464402,0.039366210088954176,108,33
0.46200574710970554,0.8363124793114862,1.8786729384464402,0.039366210088954176,108,33
0.4806275830150126,0.8352366765971533,3.7860325224985085,0.035453615771808625,194,41
0.5,0.8358159549817941,3.040812438630997,0.04982651776641104,210,64
