dataset_name,target_epsilon,accuracy
dpdl-benchmark/sun397,0.0805778643654735,0.004525211174041033
dpdl-benchmark/sun397,0.08681216775786633,0.00573811586946249
dpdl-benchmark/sun397,0.09352881874155437,0.007229885086417198
dpdl-benchmark/sun397,0.10076513651391776,0.005194893106818199
dpdl-benchmark/sun397,0.1085613276558714,0.00878598727285862
dpdl-benchmark/sun397,0.1169607095285147,0.007066643796861172
dpdl-benchmark/sun397,0.1260099509539641,0.00705932080745697
dpdl-benchmark/sun397,0.13575933151764366,0.007757966872304678
dpdl-benchmark/sun397,0.1462630209327739,0.009320560842752457
dpdl-benchmark/sun397,0.15757938001927174,0.010138318873941898
dpdl-benchmark/sun397,0.16977128496936428,0.00795055367052555
dpdl-benchmark/sun397,0.18290647670161017,0.012123750522732735
dpdl-benchmark/sun397,0.1970579372444148,0.01305199321359396
dpdl-benchmark/sun397,0.2123042952403112,0.015836630016565323
dpdl-benchmark/sun397,0.2287302628240756,0.01866353116929531
dpdl-benchmark/sun397,0.2464271063020724,0.014373770914971828
dpdl-benchmark/sun397,0.2654931532480229,0.02087574452161789
dpdl-benchmark/sun397,0.2860343388327383,0.023272881284356117
dpdl-benchmark/sun397,0.30816479442334166,0.02281012386083603
dpdl-benchmark/sun397,0.33200748172236977,0.027219388633966446
dpdl-benchmark/sun397,0.3576948759701685,0.03244752064347267
dpdl-benchmark/sun397,0.3853697020066086,0.03601733222603798
dpdl-benchmark/sun397,0.4151857272818411,0.038289874792099
dpdl-benchmark/sun397,0.44730861622223533,0.04496212303638458
dpdl-benchmark/sun397,0.481916850698548,0.05127223953604698
dpdl-benchmark/sun397,0.519202721710644,0.053365595638751984
dpdl-benchmark/sun397,0.5593733977987932,0.06512244045734406
dpdl-benchmark/sun397,0.6026520761178672,0.07745930552482605
dpdl-benchmark/sun397,0.6492792225700643,0.08618275821208954
dpdl-benchmark/sun397,0.6995139078866082,0.09220672398805618
dpdl-benchmark/sun397,0.7536352470819924,0.09920479357242584
dpdl-benchmark/sun397,0.8119439502786887,0.11007314920425415
dpdl-benchmark/sun397,0.8747639935190532,0.12014231085777283
dpdl-benchmark/sun397,0.9424444188478197,0.12964680790901184
dpdl-benchmark/sun397,1.0153612736668485,0.1449398696422577
dpdl-benchmark/sun397,1.0939197001376042,0.14970113337039948
dpdl-benchmark/sun397,1.1785561862405467,0.1657143235206604
dpdl-benchmark/sun397,1.2697409909988278,0.17054152488708496
dpdl-benchmark/sun397,1.367980757341359,0.19081377983093262
dpdl-benchmark/sun397,1.4738213271228982,0.198375403881073
dpdl-benchmark/sun397,1.5878507739420444,0.20739597082138062
dpdl-benchmark/sun397,1.7107026706081225,0.21859465539455414
dpdl-benchmark/sun397,1.8430596094117477,0.22750774025917053
dpdl-benchmark/sun397,1.9856569947584508,0.24104349315166473
dpdl-benchmark/sun397,2.139287129238106,0.26036304235458374
dpdl-benchmark/sun397,2.304803615833227,0.26444512605667114
dpdl-benchmark/sun397,2.4831261007258063,0.2947317063808441
dpdl-benchmark/sun397,2.675245383054753,0.3065343201160431
dpdl-benchmark/sun397,2.8822289200149087,0.30371665954589844
dpdl-benchmark/sun397,3.105226757885143,0.3136087954044342
dpdl-benchmark/sun397,3.345477921939666,0.33622264862060547
dpdl-benchmark/sun397,3.6043173007462914,0.3544780910015106
dpdl-benchmark/sun397,3.8831830631023725,0.34766510128974915
dpdl-benchmark/sun397,4.183624648818498,0.3927665054798126
dpdl-benchmark/sun397,4.507311377748522,0.40447670221328735
dpdl-benchmark/sun397,4.856041724899652,0.4193069636821747
dpdl-benchmark/sun397,5.2317533131570695,0.43507274985313416
dpdl-benchmark/sun397,5.6365336791449465,0.4299321174621582
dpdl-benchmark/sun397,6.072631872041288,0.4636050760746002
dpdl-benchmark/sun397,6.5424709497922935,0.4764281213283539
dpdl-benchmark/sun397,7.048661442157817,0.48555707931518555
dpdl-benchmark/sun397,7.5940158553917145,0.49609482288360596
dpdl-benchmark/sun397,8.181564299148176,0.5054581165313721
dpdl-benchmark/sun397,8.814571322440727,0.5192988514900208
dpdl-benchmark/sun397,9.496554052198045,0.5308072566986084
dpdl-benchmark/sun397,10.23130173519855,0.5384119749069214
dpdl-benchmark/sun397,11.022896791962967,0.5394222736358643
dpdl-benchmark/sun397,11.875737499585098,0.5511720180511475
dpdl-benchmark/sun397,12.794562429531425,0.562282919883728
dpdl-benchmark/sun397,13.784476776191466,0.5683724880218506
dpdl-benchmark/sun397,14.850980722466229,0.5744642615318298
dpdl-benchmark/sun397,16.0,0.5808471441268921
dpdl-benchmark/sun397,17.211049379522922,0.5923394560813904
dpdl-benchmark/sun397,18.513763796523516,0.5983404517173767
dpdl-benchmark/sun397,19.915081431424372,0.6028567552566528
dpdl-benchmark/sun397,21.42246561959156,0.6065683364868164
dpdl-benchmark/sun397,23.04394460062014,0.608242392539978
dpdl-benchmark/sun397,24.788154276266493,0.6130499839782715
dpdl-benchmark/sun397,26.664384204753418,0.6265996694564819
dpdl-benchmark/sun397,28.682627076411382,0.6211482286453247
dpdl-benchmark/sun397,30.853631934159846,0.6303477883338928
dpdl-benchmark/sun397,32.0,0.6280093193054199
dpdl-benchmark/sun397,33.18896142227813,0.6301782727241516
dpdl-benchmark/sun397,35.701053368369394,0.6412302255630493
dpdl-benchmark/sun397,38.40328702649928,0.6501870155334473
dpdl-benchmark/sun397,41.310054334316945,0.6499519348144531
dpdl-benchmark/sun397,44.436836563669,0.6515709161758423
dpdl-benchmark/sun397,47.80028677294355,0.6547634601593018
dpdl-benchmark/sun397,51.41831850028046,0.6582000255584717
dpdl-benchmark/sun397,55.31020117002272,0.6663649082183838
dpdl-benchmark/sun397,59.49666272053798,0.6645297408103943
dpdl-benchmark/sun397,64.0,0.6680210828781128
dpdl-benchmark/svhn_cropped,0.01,0.11397407948970795
dpdl-benchmark/svhn_cropped,0.010773699258659447,0.11500658094882965
dpdl-benchmark/svhn_cropped,0.011607259571603908,0.11500658094882965
dpdl-benchmark/svhn_cropped,0.01250531238416568,0.11500658094882965
dpdl-benchmark/svhn_cropped,0.013472847476259053,0.11652207374572754
dpdl-benchmark/svhn_cropped,0.014515240686700398,0.11682901531457901
dpdl-benchmark/svhn_cropped,0.015638283782556744,0.11799689382314682
dpdl-benchmark/svhn_cropped,0.016848216639483767,0.12264935672283173
dpdl-benchmark/svhn_cropped,0.018151761911853994,0.11493835598230362
dpdl-benchmark/svhn_cropped,0.019556162385310417,0.11493835598230362
dpdl-benchmark/svhn_cropped,0.021069221219284253,0.11374005675315857
dpdl-benchmark/svhn_cropped,0.022699345303073465,0.11393599957227707
dpdl-benchmark/svhn_cropped,0.02445559196637773,0.11538179963827133
dpdl-benchmark/svhn_cropped,0.02634771930382417,0.1203233152627945
dpdl-benchmark/svhn_cropped,0.02838624039309777,0.1203233152627945
dpdl-benchmark/svhn_cropped,0.030582481707924616,0.1203233152627945
dpdl-benchmark/svhn_cropped,0.03294864605046334,0.12005948275327682
dpdl-benchmark/svhn_cropped,0.03549788035277094,0.13584759831428528
dpdl-benchmark/svhn_cropped,0.03824434872406301,0.14595149457454681
dpdl-benchmark/svhn_cropped,0.04120331114963508,0.14083433151245117
dpdl-benchmark/svhn_cropped,0.04439120827871378,0.14242339134216309
dpdl-benchmark/svhn_cropped,0.04782575277233758,0.15577128529548645
dpdl-benchmark/svhn_cropped,0.05152602771881634,0.14427953958511353
dpdl-benchmark/svhn_cropped,0.055512592663587754,0.15516680479049683
dpdl-benchmark/svhn_cropped,0.05980759784259593,0.15509043633937836
dpdl-benchmark/svhn_cropped,0.06443490725389782,0.1572725772857666
dpdl-benchmark/svhn_cropped,0.06942023125131089,0.1446790248155594
dpdl-benchmark/svhn_cropped,0.07479126939682151,0.16017204523086548
dpdl-benchmark/svhn_cropped,0.0805778643654735,0.15302059054374695
dpdl-benchmark/svhn_cropped,0.08681216775786633,0.163286954164505
dpdl-benchmark/svhn_cropped,0.09352881874155437,0.1638355255126953
dpdl-benchmark/svhn_cropped,0.10076513651391776,0.16898111999034882
dpdl-benchmark/svhn_cropped,0.1085613276558714,0.17651398479938507
dpdl-benchmark/svhn_cropped,0.1169607095285147,0.1893429458141327
dpdl-benchmark/svhn_cropped,0.1260099509539641,0.18884369730949402
dpdl-benchmark/svhn_cropped,0.13575933151764366,0.19116616249084473
dpdl-benchmark/svhn_cropped,0.1462630209327739,0.20007413625717163
dpdl-benchmark/svhn_cropped,0.15757938001927174,0.20500357449054718
