epsilon,best_test_accuracy,max_grad_norm,learning_rate,batch_size,epochs
0.03541294309885406,0.8312880044223327,1.8786729384464402,0.039366210088954176,1172,33
0.03684031498640386,0.8170259812050856,3.156155522481165,0.03705107446388854,1306,40
0.038325219242830215,0.8266445550027639,2.0667533783599286,0.03767808801572051,2823,46
0.03986997479671607,0.8277501381978994,3.7860325224985085,0.035453615771808625,2366,41
0.04147699404454561,0.8277501381978994,3.7860325224985085,0.035453615771808625,2366,41
0.04314878661806854,0.8269762299613046,3.156155522481165,0.03705107446388854,1306,40
0.044887963303513516,0.8257600884466556,3.123089329846276,0.03591724184486555,3501,48
0.04669724011877137,0.8291873963515755,2.8746162561446438,0.019439970623237473,521,34
0.04857944255491551,0.8265339966832504,2.8746162561446438,0.04043374676823814,521,34
0.05053750998868299,0.8285240464344942,1.8786729384464402,0.039366210088954176,1172,33
0.052574500272807294,0.8214483139856275,2.4443485457985146,0.035549592600904255,557,63
0.0546935945113715,0.8285240464344942,2.105469400375436,0.04101717067289842,518,47
0.05689810202763908,0.8288557213930349,1.9959363779759098,0.042108107483473815,785,64
0.059191465532120596,0.8276395798783859,2.4443485457985146,0.035549592600904255,557,63
0.061577266498947215,0.834604754007739,3.1398057604875627,0.017611840389789194,552,61
0.0640592307589469,0.8189054726368159,3.8205592213859196,0.028163119463744633,528,62
0.06664123431815815,0.8308457711442786,2.4443485457985146,0.035549592600904255,557,63
0.06932730941086726,0.8332780541735766,2.9633360795573855,0.04109772972525895,530,34
0.07212165079662293,0.8351575456053068,2.9633360795573855,0.04109772972525895,530,34
0.07502862231106096,0.8360420121614152,2.8890794835536746,0.04280229920268738,873,52
0.0780527636807701,0.8401326699834163,2.4443485457985146,0.035549592600904255,557,63
0.0811987976128412,0.8301824212271973,2.4443485457985146,0.035549592600904255,557,63
0.08447163717017143,0.8383637368711996,2.832507665075316,0.036062087932947934,923,45
0.08787639344404101,0.839690436705362,2.4443485457985146,0.035549592600904255,557,63
0.0914183835359447,0.8338308457711443,3.403284881215796,0.01721423226268208,809,54
0.09510313886114317,0.8318407960199005,2.4443485457985146,0.035549592600904255,557,63
0.09893641378690136,0.8338308457711443,3.4026624135869614,0.030804424766883415,886,42
0.10292419461890422,0.8359314538419016,3.8205592213859196,0.028163119463744633,528,62
0.10707270894988284,0.839690436705362,3.012554351661829,0.03335936666981104,528,49
0.11138843538505198,0.8398009950248756,2.4443485457985146,0.035549592600904255,557,63
0.11587811365954495,0.8363736871199557,2.4443485457985146,0.035549592600904255,557,63
0.1205487551636476,0.8360420121614152,3.8205592213859196,0.028163119463744633,528,62
0.1254076538922676,0.8351575456053068,3.8620738449708627,0.029013343430292406,544,64
0.13046239783573813,0.8353786622443339,3.8620738449708627,0.029013343430292406,544,64
0.13572088082974532,0.8361525704809287,3.012554351661829,0.03335936666981104,528,49
0.14119131488288517,0.8432283029297954,2.4443485457985146,0.035549592600904255,557,63
0.14688224300110034,0.8403537866224433,3.8205592213859196,0.028163119463744633,528,62
0.15280255252902578,0.8400221116639027,3.554213472691759,0.032598981589762314,719,64
0.1589614890290774,0.8392482034273079,2.734072344340139,0.040836000222844525,806,64
0.16536867071995753,0.8388059701492537,3.8620738449708627,0.029013343430292406,544,64
0.17203410349712725,0.8349364289662797,3.8620738449708627,0.029013343430292406,544,64
0.17896819655869997,0.8392482034273079,3.8205592213859196,0.028163119463744633,528,62
0.18618177866116123,0.8416804864566059,2.4443485457985146,0.035549592600904255,557,63
0.19368611503029967,0.839690436705362,3.8620738449708627,0.029013343430292406,544,64
0.20149292495375765,0.8414593698175787,2.4443485457985146,0.035549592600904255,557,63
0.20961440008267682,0.8359314538419016,3.8205592213859196,0.028163119463744633,528,62
0.218063223471019,0.8422332780541736,3.8205592213859196,0.028163119463744633,528,62
0.22685258938229497,0.8405749032614704,3.8205592213859196,0.028163119463744633,528,62
0.23599622389463348,0.8413488114980652,3.8205592213859196,0.028163119463744633,528,62
0.24550840633636933,0.8385848535102266,2.734072344340139,0.040836000222844525,806,64
0.2554039915856232,0.840906578220011,2.4443485457985146,0.035549592600904255,557,63
0.2656984332687014,0.8410171365395246,3.8205592213859196,0.028163119463744633,528,62
0.27640780789354147,0.8371475953565506,3.554213472691759,0.032598981589762314,719,64
0.28754883995589126,0.8390270867882809,2.4443485457985146,0.035549592600904255,557,63
0.2991389280574328,0.8403537866224433,2.4443485457985146,0.035549592600904255,557,63
0.3111961720766338,0.8403537866224433,3.8620738449708627,0.029013343430292406,544,64
0.3237394014347626,0.8404643449419569,3.8205592213859196,0.028163119463744633,528,62
0.33678820450120794,0.8402432283029297,3.8205592213859196,0.028163119463744633,528,62
0.35036295918402205,0.8424543946932007,2.734072344340139,0.040836000222844525,806,64
0.3644848647534637,0.8389165284687673,2.4443485457985146,0.035549592600904255,557,63
0.3791759749482365,0.8389165284687673,3.012554351661829,0.03335936666981104,528,49
0.394459232416123,0.8413488114980652,2.4443485457985146,0.035549592600904255,557,63
0.4103585045428009,0.8410171365395246,3.554213472691759,0.032598981589762314,719,64
0.4268986207247944,0.8399115533443892,3.8620738449708627,0.029013343430292406,544,64
0.4441054111447659,0.8404643449419569,2.4443485457985146,0.035549592600904255,557,63
0.46200574710970554,0.8403537866224433,3.8205592213859196,0.028163119463744633,528,62
0.4806275830150126,0.840906578220011,3.8205592213859196,0.028163119463744633,528,62
0.5,0.8416804864566059,3.8205592213859196,0.028163119463744633,528,62
